V(out)	I(R3)	power	
3.107173e-012	3.253609e+000	1.010953e-011	
3.253609e-012	3.253609e+000	1.058597e-011	
3.406947e-012	3.253609e+000	1.108487e-011	
3.567512e-012	3.253609e+000	1.160729e-011	
3.735643e-012	3.253609e+000	1.215432e-011	
3.911699e-012	3.253609e+000	1.272714e-011	
4.096051e-012	3.253609e+000	1.332695e-011	
4.289093e-012	3.253609e+000	1.395503e-011	
4.491231e-012	3.253609e+000	1.461271e-011	
4.702896e-012	3.253609e+000	1.530139e-011	
4.924537e-012	3.253609e+000	1.602252e-011	
5.156623e-012	3.253609e+000	1.677764e-011	
5.399647e-012	3.253609e+000	1.756834e-011	
5.654125e-012	3.253609e+000	1.839631e-011	
5.920596e-012	3.253609e+000	1.926330e-011	
6.199625e-012	3.253609e+000	2.017116e-011	
6.491804e-012	3.253609e+000	2.112179e-011	
6.797753e-012	3.253609e+000	2.211723e-011	
7.118122e-012	3.253609e+000	2.315959e-011	
7.453588e-012	3.253609e+000	2.425106e-011	
7.804865e-012	3.253609e+000	2.539398e-011	
8.172697e-012	3.253609e+000	2.659076e-011	
8.557864e-012	3.253609e+000	2.784395e-011	
8.961184e-012	3.253609e+000	2.915619e-011	
9.383511e-012	3.253609e+000	3.053028e-011	
9.825743e-012	3.253609e+000	3.196913e-011	
1.028882e-011	3.253609e+000	3.347579e-011	
1.077371e-011	3.253609e+000	3.505345e-011	
1.128146e-011	3.253609e+000	3.670547e-011	
1.181314e-011	3.253609e+000	3.843534e-011	
1.236988e-011	3.253609e+000	4.024675e-011	
1.295285e-011	3.253609e+000	4.214352e-011	
1.356330e-011	3.253609e+000	4.412968e-011	
1.420252e-011	3.253609e+000	4.620945e-011	
1.487186e-011	3.253609e+000	4.838723e-011	
1.557275e-011	3.253609e+000	5.066765e-011	
1.630667e-011	3.253609e+000	5.305555e-011	
1.707518e-011	3.253609e+000	5.555597e-011	
1.787991e-011	3.253609e+000	5.817425e-011	
1.872257e-011	3.253609e+000	6.091592e-011	
1.960493e-011	3.253609e+000	6.378679e-011	
2.052889e-011	3.253609e+000	6.679297e-011	
2.149638e-011	3.253609e+000	6.994083e-011	
2.250948e-011	3.253609e+000	7.323704e-011	
2.357032e-011	3.253609e+000	7.668860e-011	
2.468115e-011	3.253609e+000	8.030281e-011	
2.584434e-011	3.253609e+000	8.408737e-011	
2.706234e-011	3.253609e+000	8.805029e-011	
2.833775e-011	3.253609e+000	9.219997e-011	
2.967327e-011	3.253609e+000	9.654521e-011	
3.107173e-011	3.253609e+000	1.010953e-010	
3.253609e-011	3.253609e+000	1.058597e-010	
3.406947e-011	3.253609e+000	1.108487e-010	
3.567512e-011	3.253609e+000	1.160729e-010	
3.735643e-011	3.253609e+000	1.215432e-010	
3.911699e-011	3.253609e+000	1.272714e-010	
4.096051e-011	3.253609e+000	1.332695e-010	
4.289092e-011	3.253609e+000	1.395503e-010	
4.491231e-011	3.253609e+000	1.461271e-010	
4.702896e-011	3.253609e+000	1.530139e-010	
4.924537e-011	3.253609e+000	1.602252e-010	
5.156623e-011	3.253609e+000	1.677764e-010	
5.399647e-011	3.253609e+000	1.756834e-010	
5.654125e-011	3.253609e+000	1.839631e-010	
5.920595e-011	3.253609e+000	1.926330e-010	
6.199625e-011	3.253609e+000	2.017116e-010	
6.491804e-011	3.253609e+000	2.112179e-010	
6.797753e-011	3.253609e+000	2.211723e-010	
7.118121e-011	3.253609e+000	2.315959e-010	
7.453588e-011	3.253609e+000	2.425106e-010	
7.804865e-011	3.253609e+000	2.539398e-010	
8.172697e-011	3.253609e+000	2.659076e-010	
8.557864e-011	3.253609e+000	2.784395e-010	
8.961184e-011	3.253609e+000	2.915619e-010	
9.383511e-011	3.253609e+000	3.053028e-010	
9.825743e-011	3.253609e+000	3.196913e-010	
1.028882e-010	3.253609e+000	3.347578e-010	
1.077371e-010	3.253609e+000	3.505345e-010	
1.128146e-010	3.253609e+000	3.670547e-010	
1.181314e-010	3.253609e+000	3.843534e-010	
1.236988e-010	3.253609e+000	4.024675e-010	
1.295285e-010	3.253609e+000	4.214352e-010	
1.356330e-010	3.253609e+000	4.412968e-010	
1.420252e-010	3.253609e+000	4.620945e-010	
1.487186e-010	3.253609e+000	4.838723e-010	
1.557275e-010	3.253609e+000	5.066765e-010	
1.630667e-010	3.253609e+000	5.305554e-010	
1.707518e-010	3.253609e+000	5.555598e-010	
1.787991e-010	3.253609e+000	5.817425e-010	
1.872257e-010	3.253609e+000	6.091591e-010	
1.960493e-010	3.253609e+000	6.378679e-010	
2.052889e-010	3.253609e+000	6.679297e-010	
2.149638e-010	3.253609e+000	6.994083e-010	
2.250948e-010	3.253609e+000	7.323704e-010	
2.357032e-010	3.253609e+000	7.668859e-010	
2.468115e-010	3.253609e+000	8.030281e-010	
2.584434e-010	3.253609e+000	8.408737e-010	
2.706234e-010	3.253609e+000	8.805029e-010	
2.833775e-010	3.253609e+000	9.219997e-010	
2.967327e-010	3.253609e+000	9.654522e-010	
3.107173e-010	3.253609e+000	1.010953e-009	
3.253609e-010	3.253609e+000	1.058597e-009	
3.406947e-010	3.253609e+000	1.108487e-009	
3.567512e-010	3.253609e+000	1.160729e-009	
3.735643e-010	3.253609e+000	1.215432e-009	
3.911699e-010	3.253609e+000	1.272714e-009	
4.096051e-010	3.253609e+000	1.332695e-009	
4.289092e-010	3.253609e+000	1.395503e-009	
4.491231e-010	3.253609e+000	1.461271e-009	
4.702896e-010	3.253609e+000	1.530139e-009	
4.924537e-010	3.253609e+000	1.602252e-009	
5.156623e-010	3.253609e+000	1.677764e-009	
5.399647e-010	3.253609e+000	1.756834e-009	
5.654125e-010	3.253609e+000	1.839631e-009	
5.920596e-010	3.253609e+000	1.926330e-009	
6.199625e-010	3.253609e+000	2.017116e-009	
6.491804e-010	3.253609e+000	2.112179e-009	
6.797753e-010	3.253609e+000	2.211723e-009	
7.118122e-010	3.253609e+000	2.315959e-009	
7.453588e-010	3.253609e+000	2.425106e-009	
7.804865e-010	3.253609e+000	2.539398e-009	
8.172697e-010	3.253609e+000	2.659076e-009	
8.557864e-010	3.253609e+000	2.784395e-009	
8.961184e-010	3.253609e+000	2.915619e-009	
9.383512e-010	3.253609e+000	3.053028e-009	
9.825742e-010	3.253609e+000	3.196913e-009	
1.028882e-009	3.253609e+000	3.347578e-009	
1.077371e-009	3.253609e+000	3.505345e-009	
1.128146e-009	3.253609e+000	3.670547e-009	
1.181314e-009	3.253609e+000	3.843535e-009	
1.236988e-009	3.253609e+000	4.024675e-009	
1.295285e-009	3.253609e+000	4.214352e-009	
1.356330e-009	3.253609e+000	4.412968e-009	
1.420252e-009	3.253609e+000	4.620945e-009	
1.487186e-009	3.253609e+000	4.838723e-009	
1.557275e-009	3.253609e+000	5.066765e-009	
1.630667e-009	3.253609e+000	5.305554e-009	
1.707518e-009	3.253609e+000	5.555597e-009	
1.787991e-009	3.253609e+000	5.817425e-009	
1.872257e-009	3.253609e+000	6.091592e-009	
1.960494e-009	3.253609e+000	6.378680e-009	
2.052889e-009	3.253609e+000	6.679298e-009	
2.149638e-009	3.253609e+000	6.994083e-009	
2.250948e-009	3.253609e+000	7.323704e-009	
2.357031e-009	3.253609e+000	7.668859e-009	
2.468115e-009	3.253609e+000	8.030282e-009	
2.584434e-009	3.253609e+000	8.408737e-009	
2.706234e-009	3.253609e+000	8.805029e-009	
2.833775e-009	3.253609e+000	9.219997e-009	
2.967327e-009	3.253609e+000	9.654522e-009	
3.107173e-009	3.253609e+000	1.010953e-008	
3.253609e-009	3.253609e+000	1.058597e-008	
3.406947e-009	3.253609e+000	1.108487e-008	
3.567512e-009	3.253609e+000	1.160729e-008	
3.735643e-009	3.253609e+000	1.215432e-008	
3.911699e-009	3.253609e+000	1.272714e-008	
4.096051e-009	3.253609e+000	1.332695e-008	
4.289092e-009	3.253609e+000	1.395503e-008	
